ROMANCE        Spatial Romance
SADNESS        Pink Sadness
CLOCK          Clockmaker
RECKLESS       Reckless Game
LARGO1         Chopin's Prelude No. 4
ANITRA         Anitra's Dance
JESU           Bach's Choral
MOONLITE       Moonlight Sonata
BOSSAP         Monique and Paul
BAROQUE        Modern Baroque
FOLKSONG       Harvard Folk Song
LULLABY        Winter Lullaby
CHOPIN7        Chopin's Prelude No. 7
MINUET         Boccherini's Minuet
SPRING         Vivaldi's Spring
PIZPOLKA       Pizzicato Polka
DRIVE          Cross-Country Drive
MOMENTS        Ambiguous Moments
WEEKEND        Weekend
