pl x = 165, pl y = 157 e x = 186, e y = -23, dx = -21, dy = 180
pl x = 144, pl y = 157 e x = 176, e y = -34, dx = -32, dy = 191
pl x = 79, pl y = 157 e x = 167, e y = -69, dx = -88, dy = 226
pl x = 134, pl y = 157 e x = 135, e y = -22, dx = -1, dy = 179
pl x = 164, pl y = 157 e x = 157, e y = -90, dx = 7, dy = 247
pl x = 164, pl y = 157 e x = 154, e y = -89, dx = 10, dy = 246
pl x = 96, pl y = 157 e x = 153, e y = -93, dx = -57, dy = 250
pl x = 159, pl y = 157 e x = 167, e y = -69, dx = -8, dy = 226
pl x = 159, pl y = 157 e x = 183, e y = -51, dx = -24, dy = 208
pl x = 159, pl y = 157 e x = 165, e y = -69, dx = -6, dy = 226
pl x = 153, pl y = 157 e x = 175, e y = -93, dx = -22, dy = 250
pl x = 177, pl y = 157 e x = 127, e y = -51, dx = 50, dy = 208
pl x = 147, pl y = 157 e x = 157, e y = -65, dx = -10, dy = 222
pl x = 147, pl y = 157 e x = 141, e y = -58, dx = 6, dy = 215
pl x = 159, pl y = 157 e x = 179, e y = 1, dx = -20, dy = 156
pl x = 132, pl y = 157 e x = 106, e y = 70, dx = 26, dy = 87
pl x = 126, pl y = 157 e x = 100, e y = 80, dx = 26, dy = 77
pl x = -23, pl y = 225 e x = 82, e y = 88, dx = -105, dy = 137
pl x = 312, pl y = 225 e x = 167, e y = -85, dx = 145, dy = 310
pl x = 120, pl y = 157 e x = 159, e y = -45, dx = -39, dy = 202
pl x = 126, pl y = 157 e x = 163, e y = -44, dx = -37, dy = 201
pl x = 156, pl y = 157 e x = 181, e y = 60, dx = -25, dy = 97
pl x = 138, pl y = 157 e x = 169, e y = 78, dx = -31, dy = 79
pl x = 120, pl y = 157 e x = 157, e y = 104, dx = -37, dy = 53
pl x = 282, pl y = 225 e x = 175, e y = -14, dx = 107, dy = 239
pl x = 70, pl y = 157 e x = 143, e y = -99, dx = -73, dy = 256
pl x = 61, pl y = 157 e x = 131, e y = -95, dx = -70, dy = 252
pl x = 176, pl y = 157 e x = 170, e y = -27, dx = 6, dy = 184
pl x = 173, pl y = 157 e x = 171, e y = -70, dx = 2, dy = 227
pl x = 146, pl y = 157 e x = 137, e y = -50, dx = 9, dy = 207
pl x = 146, pl y = 157 e x = 132, e y = -13, dx = 14, dy = 170
pl x = 122, pl y = 157 e x = 147, e y = -71, dx = -25, dy = 228
